scenario_id,title,request_text,baseline_rule,baseline_provider,agentic_provider,outcome,baseline_weakness,agentic_advantage,score_signal,judge_evidence
A,Clinic Visit Bundle,"Ammi ko Gulberg Lahore se kal 11 baje clinic le jana hai, wheelchair friendly car chahiye aur wapis medicine bhi pick karni hai.",first eligible provider by distance,Khidmat Elder Support,Khidmat Elder Support,agent_confirmed_baseline,"Distance-only selected Khidmat Elder Support, and the agent confirmed it after checking tools.","Agent selected Khidmat Elder Support using tool observations: verified=true, on_time=90%, cancellation=4%, specialization=Male Elder Companionship, Mobility Assistance.",Agentic system validated heuristic safely,Agentic matcher used tool observations and agreed with the simple baseline for this scenario.
B,Recurring Caregiver,"Meri nani ke liye roz 2 ghantay female caregiver chahiye, Punjabi bolti ho, Model Town mein.",first eligible provider by distance,Farzana Dementia Companion,ShifaCare Agency,agent_adapted,"Distance-only chose Farzana Dementia Companion without optimizing for risk, reliability, specialization, or family constraints.","Agent selected ShifaCare Agency using tool observations: verified=true, on_time=89%, cancellation=4%, specialization=Alzheimer Care, Palliative Support.",Agentic system outperformed heuristic,"Agentic matcher improved on distance-only by considering strict preferences, verification, reliability, cancellation risk, and specialization."
C,Home Physiotherapy,"Abu ki knee surgery ke baad ghar pe physio chahiye, evening mein, Urdu speaking ho.",first eligible provider by distance,Zara Physiotherapy,Dr. Tariq Rehab Center,agent_adapted,"Distance-only chose Zara Physiotherapy without optimizing for risk, reliability, specialization, or family constraints.","Agent selected Dr. Tariq Rehab Center using tool observations: verified=true, on_time=91%, cancellation=5%, specialization=Orthopedic Rehab, Stroke Recovery.",Agentic system outperformed heuristic,"Agentic matcher improved on distance-only by considering strict preferences, verification, reliability, cancellation risk, and specialization."
D,Food & Medicine,Diabetic patient ke liye low sugar ghar ka khana chahiye aur weekly medicine refill bhi.,first eligible provider by distance,ShifaCare Agency,QuickMeds Delivery,agent_adapted,"Distance-only chose ShifaCare Agency without optimizing for risk, reliability, specialization, or family constraints.","Agent selected QuickMeds Delivery using tool observations: verified=true, on_time=85%, cancellation=7%, specialization=Prescription Pickup, Cold-Chain Medicines.",Agentic system outperformed heuristic,"Agentic matcher improved on distance-only by considering strict preferences, verification, reliability, cancellation risk, and specialization."
E,Failure & Fallback,Demo provider cancellation risk and fallback flow.,first eligible provider by distance,Nearest Night Nurse,Sehat Ghar Agency,agent_adapted,"Distance-only chose Nearest Night Nurse without optimizing for risk, reliability, specialization, or family constraints.","Agent selected Sehat Ghar Agency using tool observations: verified=true, on_time=96%, cancellation=2%, specialization=ICU Step-Down Care, Tracheostomy Care.",Agentic system outperformed heuristic,"Agentic matcher improved on distance-only by considering strict preferences, verification, reliability, cancellation risk, and specialization."
F,Noisy Roman Urdu ICU Nurse,"meri ammi ko raat me oxygen wali femal nurs chahye DHA me, plz reliable ho cancel na kry",first eligible provider by distance,Nearest Night Nurse,Ayesha ICU Home Care,agent_adapted,"Distance-only chose Nearest Night Nurse without optimizing for risk, reliability, specialization, or family constraints.","Agent selected Ayesha ICU Home Care using tool observations: verified=true, on_time=98%, cancellation=1%, specialization=ICU Step-Down Care, Oxygen Therapy.",Agentic system outperformed heuristic,"Agentic matcher improved on distance-only by considering strict preferences, verification, reliability, cancellation risk, and specialization."
G,Wheelchair Clinic Escort Trap,"Abu ko DHA se clinic jana hai kal 10 baje, wheelchair transfer zaroori hai aur medicine bhi leni hai.",first eligible provider by distance,Khidmat Elder Support,Khidmat Elder Support,agent_confirmed_baseline,"Distance-only selected Khidmat Elder Support, and the agent confirmed it after checking tools.","Agent selected Khidmat Elder Support using tool observations: verified=true, on_time=90%, cancellation=4%, specialization=Male Elder Companionship, Mobility Assistance.",Agentic system validated heuristic safely,Agentic matcher used tool observations and agreed with the simple baseline for this scenario.
H,Dementia Night Supervision,"Nani raat ko bhool kar bahar nikal jati hain, female Punjabi caregiver chahiye Model Town mein.",first eligible provider by distance,Farzana Dementia Companion,Farzana Dementia Companion,agent_confirmed_baseline,"Distance-only selected Farzana Dementia Companion, and the agent confirmed it after checking tools.","Agent selected Farzana Dementia Companion using tool observations: verified=true, on_time=97%, cancellation=1%, specialization=Dementia Care, Wandering Prevention.",Agentic system validated heuristic safely,Agentic matcher used tool observations and agreed with the simple baseline for this scenario.
I,Ambiguous Low Confidence Clarification,"kal kisi ko bhej dein ammi ke liye, zyada masla hai",first eligible provider by distance,Farzana Dementia Companion,ShifaCare Agency,agent_adapted,"Distance-only chose Farzana Dementia Companion without optimizing for risk, reliability, specialization, or family constraints.","Agent selected ShifaCare Agency using tool observations: verified=true, on_time=89%, cancellation=4%, specialization=Alzheimer Care, Palliative Support.",Agentic system outperformed heuristic,"Agentic matcher improved on distance-only by considering strict preferences, verification, reliability, cancellation risk, and specialization."
J,Code-Switched Post-Surgery Physio,"Dad knee replacement ke baad home physio needs, evening slot, verified only, English/Urdu ok.",first eligible provider by distance,Dr. Tariq Rehab Center,Dr. Tariq Rehab Center,agent_confirmed_baseline,"Distance-only selected Dr. Tariq Rehab Center, and the agent confirmed it after checking tools.","Agent selected Dr. Tariq Rehab Center using tool observations: verified=true, on_time=91%, cancellation=5%, specialization=Orthopedic Rehab, Stroke Recovery.",Agentic system validated heuristic safely,Agentic matcher used tool observations and agreed with the simple baseline for this scenario.
K,Karachi Clifton Caregiver,"Meri khala Clifton Karachi mein akeli rehti hain, female caregiver chahiye jo Urdu English dono bol sake.",first eligible provider by distance,Karachi Clifton ElderCare,Karachi Clifton ElderCare,agent_confirmed_baseline,"Distance-only selected Karachi Clifton ElderCare, and the agent confirmed it after checking tools.","Agent selected Karachi Clifton ElderCare using tool observations: verified=true, on_time=95%, cancellation=2%, specialization=Dementia Care, Stroke Support.",Agentic system validated heuristic safely,Agentic matcher used tool observations and agreed with the simple baseline for this scenario.
L,Islamabad Post-Surgery Rehab,"F-8 Islamabad mein father ke knee replacement ke baad verified home physio chahiye, evening slot.",first eligible provider by distance,Islamabad Home Rehab,Islamabad Home Rehab,agent_confirmed_baseline,"Distance-only selected Islamabad Home Rehab, and the agent confirmed it after checking tools.","Agent selected Islamabad Home Rehab using tool observations: verified=true, on_time=94%, cancellation=2%, specialization=Joint Replacement, Stroke Recovery.",Agentic system validated heuristic safely,Agentic matcher used tool observations and agreed with the simple baseline for this scenario.
